fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE C FONDITEL SMART BETA FI*86783982*Semester 2 2018*2018-07-01*2018-12-31*4630*N/D*ND*4 en una escala de 1 a 7*0.17*0.0**5259568.91*25*0.0*29036646*false*5.5207*0.5*0.0*0.5*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE A FONDITEL SMART BETA FI*86783982*Trimester 3 2018*2018-07-01*2018-09-30*4630*N/D*ND*4 en una escala de 1 a 7*0.11*0.0**471043.48*201*0.0*2667587*false*5.6631*0.34*0.0*0.34*0.02*0.23*1.02*0.39*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE B FONDITEL SMART BETA FI*86783982*Trimester 3 2018*2018-07-01*2018-09-30*4630*N/D*ND*4 en una escala de 1 a 7*0.11*0.0**1360062.95*36*0.0*8112829*false*5.965*0.08*0.0*0.08*0.02*0.49*1.02*0.13*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE C FONDITEL SMART BETA FI*86783982*Trimester 3 2018*2018-07-01*2018-09-30*4630*N/D*ND*4 en una escala de 1 a 7*0.11*0.0**5260875.41*26*0.0*30306940*false*5.7608*0.25*0.0*0.25*0.02*0.32*1.02*0.3*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE A FONDITEL SMART BETA FI*86783982*Semester 1 2018*2018-01-01*2018-06-30*4630*N/D*ND*4 en una escala de 1 a 7*0.62*0.0**477789.77*205*0.0*2699500*false*5.65*0.67*0.0*0.67*0.04*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE B FONDITEL SMART BETA FI*86783982*Semester 1 2018*2018-01-01*2018-06-30*4630*N/D*ND*4 en una escala de 1 a 7*0.62*0.0**1360062.95*36*0.0*8073162*false*5.9359*0.16*0.0*0.16*0.04*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE C FONDITEL SMART BETA FI*86783982*Semester 1 2018*2018-01-01*2018-06-30*4630*N/D*ND*4 en una escala de 1 a 7*0.62*0.0**5262130.19*28*0.0*30217013*false*5.7424*0.5*0.0*0.5*0.04*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE A FONDITEL SMART BETA FI*86783982*Trimester 1 2018*2018-01-01*2018-03-31*4630*N/D*ND*4 en una escala de 1 a 7*0.37*0.0**478618.63*209*0.0*2709001*false*5.66*0.33*0.0*0.33*0.02*-0.52*1.67*0.38*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE B FONDITEL SMART BETA FI*86783982*Trimester 1 2018*2018-01-01*2018-03-31*4630*N/D*ND*4 en una escala de 1 a 7*0.37*0.0**1360062.95*36*0.0*8066983*false*5.9313*0.08*0.0*0.08*0.02*-0.27*1.74*0.13*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE C FONDITEL SMART BETA FI*86783982*Trimester 1 2018*2018-01-01*2018-03-31*4630*N/D*ND*4 en una escala de 1 a 7*0.37*0.0**5262130.19*27*0.0*30244439*false*5.7476*0.25*0.0*0.25*0.02*-0.43*1.67*0.29*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE A FONDITEL SMART BETA FI*86783982*Semester 2 2019*2019-07-01*2019-12-31*4630*N/D*ND*4 en una escala de 1 a 7*0.47*-0.18**360707.41*185*0.0*1956773*false*5.4248*0.68*0.0*0.68*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE B FONDITEL SMART BETA FI*86783982*Semester 2 2019*2019-07-01*2019-12-31*4630*N/D*ND*4 en una escala de 1 a 7*0.47*-0.18**1213390.72*34*0.0*7022533*false*5.7875*0.17*0.0*0.17*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE C FONDITEL SMART BETA FI*86783982*Semester 2 2019*2019-07-01*2019-12-31*4630*N/D*ND*4 en una escala de 1 a 7*0.47*-0.18**4950683.44*21*0.0*27439761*false*5.5426*0.5*0.0*0.5*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE A FONDITEL SMART BETA FI*86783982*Trimester 3 2019*2019-07-01*2019-09-30*4630*N/D*ND*4 en una escala de 1 a 7*0.21*0.0**371076.01*187*0.0*2033145*false*5.4791*0.34*0.0*0.34*0.02*-0.28*1.25*0.37*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE B FONDITEL SMART BETA FI*86783982*Trimester 3 2019*2019-07-01*2019-09-30*4630*N/D*ND*4 en una escala de 1 a 7*0.21*0.0**1213752.94*35*0.0*7076617*false*5.8304*0.08*0.0*0.08*0.02*-0.02*1.25*0.11*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE C FONDITEL SMART BETA FI*86783982*Trimester 3 2019*2019-07-01*2019-09-30*4630*N/D*ND*4 en una escala de 1 a 7*0.21*0.0**5239736.92*23*0.0*29306333*false*5.5931*0.25*0.0*0.25*0.02*-0.19*1.25*0.28*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE A FONDITEL SMART BETA FI*86783982*Semester 1 2019*2019-01-01*2019-06-30*4630*N/D*ND*4 en una escala de 1 a 7*0.66*0.0**390684.39*191*0.0*2146619*false*5.4945*0.67*0.0*0.67*0.04*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
