fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2013*2013-07-01*2013-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.37*0.07**2112148.24*145*0.0*16629665*false*7.8733*0.06*0.0*0.06*0.01*0.46*0.23*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2013*2013-01-01*2013-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*1.11*0.08**52515980.55*274*0.0*411562537*false*7.8369*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2013*2013-01-01*2013-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*1.11*0.08**77319137.32*26237*0.0*599143998*false*7.749*0.47*0.0*0.47*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2013*2013-01-01*2013-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*1.11*0.08**24925456.06*1681*0.0*193964645*false*7.7818*0.33*0.0*0.33*0.04*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2013*2013-01-01*2013-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*1.11*0.08**34709487.63*1020*0.0*271095850*false*7.8104*0.22*0.0*0.22*0.02*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2013*2013-01-01*2013-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*1.11*0.08**10059359.83*6859*0.0*78281140*false*7.7819*0.33*0.0*0.33*0.04*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2013*2013-01-01*2013-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*1.11*0.08**2153663.0*139*0.0*16878301*false*7.837*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2013*2013-01-01*2013-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*Muy Bajo*0.69*0.05**51304096.29*275*0.0*401153830*false*7.8191*0.06*0.0*0.06*0.01*0.57*0.32*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2013*2013-01-01*2013-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*Muy Bajo*0.69*0.05**75042559.34*25772*0.0*581331536*false*7.7467*0.23*0.0*0.23*0.02*0.38*0.32*0.26*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2013*2013-01-01*2013-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*Muy Bajo*0.69*0.05**17739049.38*1261*0.0*137898998*false*7.7738*0.17*0.0*0.17*0.02*0.45*0.32*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2013*2013-01-01*2013-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*Muy Bajo*0.69*0.05**33608186.42*1034*0.0*262054439*false*7.7973*0.11*0.0*0.11*0.01*0.51*0.32*0.12*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2013*2013-01-01*2013-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*Muy Bajo*0.69*0.05**9184595.07*6130*0.0*71399860*false*7.7739*0.17*0.0*0.17*0.02*0.45*0.32*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2013*2013-01-01*2013-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*Muy Bajo*0.69*0.05**1942599.0*131*0.0*15189681*false*7.8193*0.06*0.0*0.06*0.01*0.57*0.32*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
